County,Precinct Short Name,Delegates to County Convention,Long Name,State Delegate Equivalents,Unplaced County,Unplaced Precinct,caucusaddress,caucuscity,caucussite,caucuszip,congressionaldistrict,countycode,entrytype,precinctname
Appanoose,CV3,10,Centerville Ward 3,0.8,,,600 CHS Drive,Centerville,Centerville High School,52544,2.0,4.0,AUTO,Centerville W3
Appanoose,CW,2,Caldwell Township,0.16,,,600 CHSDrive,Centerville,Centerville High School,52544,2.0,4.0,MANUAL,Caldwell
Appanoose,JO,4,Johns/Independence,0.32,,,505 N Trussell St,Moravia,Moravia High School,52571,2.0,4.0,AUTO,Johns Independence
Appanoose,PS,5,Pleasant/Franklin,0.4,,,600 CHS Drive,Centerville,Centerville High School,52544,2.0,4.0,AUTO,Pleasant Franklin
Appanoose,TY,7,Taylor/Chariton,0.56,,,505 N Trussell St,Moravia,Moravia High School,52571,2.0,4.0,AUTO,Taylor Chariton
Appanoose,UD,4,Union / Udell Township,0.32,,,600 CHS Drive,Centerville,Centerville High School,52544,2.0,4.0,AUTO,Udell
Appanoose,VM,6,Vermillion/Douglas/Sharon,0.48,,,600 CHS Drive,Centerville,Centerville High School,52544,2.0,4.0,AUTO,Vermillion Douglas Sharon
Appanoose,WALNUT,5,Walnut,0.4,,,,,,,,,,
Appanoose,WS,4,Washington/Wells,0.32,,,123 S Main St,Moulton,Garrett Memorial Library,52572,2.0,4.0,AUTO,Washington Wells
Audubon,1,15,Precinct 1,1.5,,,318 Leroy St.,Audubon,Audubon County Courthouse,50025,5.0,5.0,AUTO,Precinct 1
Audubon,2,15,Precinct 2,1.5,,,318 Leroy St.,Audubon,Audubon County Courthouse,50025,5.0,5.0,AUTO,Precinct 2
Benton,BG,9,Big Grove-Union-Van Horne,0.6749999999999999,,,114 Main St.,Van Horn,Van Horne Fire Station,52346,3.0,6.0,AUTO,Precinct Bg
Benton,BN,22,Benton-Canton-Shellsburg,1.65,,,203 Cottage St,Shellsburg,Shellsburg Elementary School - Music Room,52332,3.0,6.0,AUTO,Precinct Bn
Benton,BP1,6,Belle Plaine 1,0.45,,,1509 9th Ave,Belle Plaine,Lincoln Jr. High Cafeteria,52208,3.0,6.0,AUTO,Precinct Bp1
Benton,BP2,5,Belle Plaine 2,0.375,,,1509 9th Ave,Belle Plaine,Lincoln Jr. High Cafeteria,52208,3.0,6.0,AUTO,Precinct Bp2
Benton,BP3,6,Belle Plaine 3,0.45,,,1509 9th Ave,Belle Plaine,Lincoln Jr. High Cafeteria,52208,3.0,6.0,AUTO,Precinct Bp3
Benton,BR,5,Bruce-Cedar-Mt Auburn,0.375,,,202 2nd St,Mt Auburn,Mt Auburn American Legion,52313,3.0,6.0,AUTO,Precinct Br
Benton,ED,10,Eden-Harrison-Taylor,0.75,,,212 W 15th St,Vinton,Vinton Middle School (Washington),52349,3.0,6.0,AUTO,Precinct Ed
Benton,EL,10,Eldorado-Newhall,0.75,,,220 1 Street E,Newhall,Newhall City Hall - Meeting Room,52315,3.0,6.0,AUTO,Precinct El
Benton,FL,12,Florence-St Clair-Norway,0.8999999999999999,,,210South St.,Norway,Norway Elementary School Library,52318,3.0,6.0,MANUAL,Precinct Fl
Benton,FR,22,Fremont-Atkins,1.65,,,Main Street,Atkins,Atkins Memorial Hall,52206,3.0,6.0,AUTO,Precinct Fr
Benton,HO,6,Homer-Monroe-Jackson-Garrison,0.45,,,100 N Birch Ave,Garrison,Garrison Public Library,52229,3.0,6.0,AUTO,Precinct Ho
Benton,IA,10,Iowa-Leroy-Luzerne-Blairstown,0.75,,,109 Spruce St NW,Blairstown,Blairstown Fire Station,52209,3.0,6.0,AUTO,Precinct Ia
Benton,KA,6,Kane-Keystone,0.45,,,280 4th St.,Keystone,Keystone Elementary School - Lunch Room,52249,3.0,6.0,AUTO,Precinct Ka
Benton,PO,20,Polk-Urbana,1.5,,,202 W Main,Urbana,Urbana Middle School - Media Center,52345,3.0,6.0,AUTO,Precinct Po
Benton,VT1,12,Vinton 1,0.8999999999999999,,,212 W 15th St,Vinton,Vinton Middle School (Washington),52349,3.0,6.0,AUTO,Precinct Vt1
Benton,VT2,8,Vinton 2,0.6,,,212 W 15th St,Vinton,Vinton Middle School (Washington),52349,3.0,6.0,AUTO,Precinct Vt2
Benton,VT3,11,Vinton 3,0.825,,,212 W 15th St,Vinton,Vinton Middle School (Washington),52349,3.0,6.0,AUTO,Precinct Vt3
Benton,VT4,10,Vinton 4,0.75,,,212 W 15th St,Vinton,Vinton Middle School (Washington),52349,3.0,6.0,AUTO,Precinct Vt4
Benton,WA,10,Walford,0.75,,,120 5th st N,Walford,Walford City Hall - New Council Chambers,52351,3.0,6.0,AUTO,Precinct Wa
Black Hawk,ALOO,5,,1.01,Black Hawk,Barclay Lester Dunkerton,,,,,,,,
Black Hawk,B000,1,,0.20199999999999999,Black Hawk,Bennington,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Bennington Twp
Black Hawk,C000,8,,1.6159999999999999,Black Hawk,Big Creek La Porte,,,,,,,,
Black Hawk,DK00,7,,1.414,Black Hawk,Black Hawk Hudson Lincoln,,,,,,,,
Black Hawk,DM00,10,,2.02,Black Hawk,Cedar Orange,,,,,,,,
Black Hawk,EO00,7,,1.414,Black Hawk,Eagle,,,,,,,,
Black Hawk,G000,1,,0.20199999999999999,Black Hawk,Elk Run Heights &amp; Raymond,,,,,,,,
Black Hawk,J100,4,Evansdale W1,0.8079999999999999,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Evansdale Ward 1
Black Hawk,J200,3,Evansdale W2,0.6060000000000001,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Evansdale Ward 2
Black Hawk,J300,4,Evansdale W3,0.8079999999999999,Black Hawk,,1350,Waterloo,Central Middle School,50701,1.0,7.0,MANUAL,Evansdale Ward 3
Black Hawk,J400,4,Evansdale W4,0.8079999999999999,Black Hawk,,1350,Waterloo,Central Middle School,50701,1.0,7.0,MANUAL,Evansdale Ward 4
Black Hawk,N000,4,,0.8079999999999999,Black Hawk,Mt Vernon,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Mt Vernon Twp
Black Hawk,PH01,3,Poyner P1 &amp; East Wloo,0.6060000000000001,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Poyner P1/ E Wloo P1 Twps
Black Hawk,PK02,7,Poyner P2 Fox Gilbert Jesup,1.414,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Poyner P2/Fox Twps
Black Hawk,Q000,1,,0.20199999999999999,Black Hawk,Spring Creek,,,,,,,,
Black Hawk,R000,3,,0.6060000000000001,Black Hawk,Union,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Union Township
Black Hawk,S000,2,,0.40399999999999997,Black Hawk,Washington Janesville,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Washington Twp
Black Hawk,W101,10,WL 1-1,2.02,Black Hawk,,1350,Waterloo,Central Middle School,50701,1.0,7.0,MANUAL,Precinct W101
Black Hawk,W102,9,WL 1-2,1.818,Black Hawk,,1350,Waterloo,Central Middle School,50701,1.0,7.0,MANUAL,Precinct W102
Black Hawk,W103,8,WL 1-3,1.6159999999999999,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W103
Black Hawk,W104,9,WL 1-4,1.818,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W104
Black Hawk,W105,8,WL 1-5,1.6159999999999999,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W105
Black Hawk,W106,11,WL 1-6,2.222,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W106
Black Hawk,W201,6,WL 2-1,1.2120000000000002,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W201
Black Hawk,W202,7,WL 2-2,1.414,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W202
Black Hawk,W203,9,WL 2-3,1.818,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W203
Black Hawk,W204,14,WL 2-4,2.8280000000000003,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W204
Black Hawk,W205,9,WL 2-5,1.818,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W205
Black Hawk,W206,9,WL 2-6,1.818,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W206
Black Hawk,W301,8,WL 3-1,1.6159999999999999,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W301
Black Hawk,W302,9,WL 3-2,1.818,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W302
Black Hawk,W303,7,WL 3-3,1.414,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W303
Black Hawk,W304,7,WL 3-4,1.414,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W304
Black Hawk,W305,11,WL 3-5,2.222,Black Hawk,,1350,Waterloo,Central Middle School,50701,1.0,7.0,MANUAL,Precinct W305
Black Hawk,W306,6,WL 3-6,1.2120000000000002,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W306
Black Hawk,W401,10,WL 4-1,2.02,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W401
Black Hawk,W402,7,WL 4-2,1.414,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W402
Black Hawk,W403,5,WL 4-3,1.01,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W403
Black Hawk,W404,7,WL 4-4,1.414,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W404
Black Hawk,W405,11,WL 4-5,2.222,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W405
Black Hawk,W406,5,WL 4-6,1.01,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W406
Black Hawk,W501,4,WL 5-1,0.8079999999999999,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W501
Black Hawk,W502,8,WL 5-2,1.6159999999999999,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W502
Black Hawk,W503,7,WL 5-3,1.414,Black Hawk,,1350,Waterloo,Central Middle School,50701,1.0,7.0,MANUAL,Precinct W503
Black Hawk,W504,9,WL 5-4,1.818,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W504
Black Hawk,W505,10,WL 5-5,2.02,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W505
Black Hawk,W506,9,WL 5-6,1.818,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct W506
Black Hawk,X101,8,CF W1 P1,1.6159999999999999,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct X101
Black Hawk,X102,15,CF W1 P2,3.03,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct X102
Black Hawk,X103,15,CF W1 P3,3.03,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct X103
Black Hawk,X201,4,CF W2 P1,0.8079999999999999,Black Hawk,,1350,Waterloo,Central Middle School,50701,1.0,7.0,MANUAL,Precinct X201
Black Hawk,X202,14,CF W2 P2 &amp; CF Twp,2.8280000000000003,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct X202
Black Hawk,X203,19,CF W2 P3,3.838,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct X203
Black Hawk,X301,10,CF W3 P1,2.02,Black Hawk,,1350,Waterloo,Central Middle School,50701,1.0,7.0,MANUAL,Precinct X301
Black Hawk,X302,14,CF W3 P2,2.8280000000000003,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct X302 & Cf Twp
Black Hawk,X303,9,CF W3 P3,1.818,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct X303
Black Hawk,X401,13,CF W4 P1,2.6260000000000003,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct X401
Black Hawk,X402,10,CF W4 P2,2.02,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct X402
Black Hawk,X403,9,CF W4 P3,1.818,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct X403
Black Hawk,X501,13,CF W5 P1,2.6260000000000003,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct X501
Black Hawk,X502,13,CF W5 P2,2.6260000000000003,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct X502
Black Hawk,X503,11,CF W5 P3,2.222,Black Hawk,,1350 Katoski Drive,Waterloo,Central Middle School,50701,1.0,7.0,AUTO,Precinct X503
Boone,BN1,9,Boone 1st Ward,1.71,Boone,,1125 Hancock,Boone,DMACC Boone Campus - Gym,50036,4.0,8.0,AUTO,Boone 1
Boone,BN2,10,Boone 2nd Ward,1.9,Boone,,1125 Hancock,Boone,DMACC Boone Campus - Gym,50036,4.0,8.0,AUTO,Boone 2
Boone,BN3,10,Boone 3rd Ward,1.9,Boone,,1125 Hancock,Boone,DMACC Boone Campus - Gym,50036,4.0,8.0,AUTO,Boone 3
Boone,BN4,12,Boone 4th Ward,2.28,Boone,,1125 Hancock,Boone,DMACC Boone Campus - Gym,50036,4.0,8.0,AUTO,Boone 4
Boone,BN5,10,Boone 5th Ward,1.9,Boone,,1125 Hancock,Boone,DMACC Boone Campus - Gym,50036,4.0,8.0,AUTO,Boone 5
Boone,MD1,4,Madrid 1st Ward,0.76,Boone,,599 N. Kennedy Ave.,Madrid,Madrid Jr-Sr High School-High School Wing,50156,4.0,8.0,AUTO,Madrid 1
Boone,MD2,4,Madrid 2nd Ward,0.76,Boone,,599 N. Kennedy Ave.,Madrid,Madrid Jr-Sr High School-High School Wing,50156,4.0,8.0,AUTO,Madrid 2
Boone,MD3,3,Madrid 3rd Ward,0.5700000000000001,Boone,,599 N. Kennedy Ave.,Madrid,Madrid Jr-Sr High School-High School Wing,50156,4.0,8.0,AUTO,Madrid 3
Boone,OG,7,Ogden,1.33,Boone,,313 W. Sycamore,Ogden,Ogden Middle School,50212,4.0,8.0,AUTO,Ogden
Boone,RP1,5,Rural Precinct 1,0.95,Boone,,599 N. Kennedy Ave.,Madrid,Madrid Jr-Sr High School-High School Wing,50156,4.0,8.0,AUTO,Rural Precinct 1
Boone,RP2,7,Rural Precinct 2,1.33,Boone,,599 N. Kennedy Ave.,Madrid,Madrid Jr-Sr High School-High School Wing,50156,4.0,8.0,AUTO,Rural Precinct 2
Boone,RP3,3,Rural Precinct 3,0.5700000000000001,Boone,,313 W. Sycamore,Ogden,Ogden Middle School,50212,4.0,8.0,AUTO,Rural Precinct 3
Boone,RP4,7,Rural Precinct 4,1.33,Boone,,313 W. Sycamore,Ogden,Ogden Middle School,50212,4.0,8.0,AUTO,Rural Precinct 4
Boone,RP5,3,Rural Precinct 5,0.5700000000000001,Boone,,313 W. Sycamore,Ogden,Ogden Middle School,50212,4.0,8.0,AUTO,Rural Precinct 5
Boone,RP6,6,Rural Precinct 6,1.14,Boone,,1125 Hancock,Boone,DMACC Boone Campus - Gym,50036,4.0,8.0,AUTO,Rural Precinct 6
Bremer,DV,9,CITY OF DENVER/JEFFERSON TWP,2.04,Bremer,,100 Washington Street,Denver,Denver Community Center,50622,1.0,9.0,AUTO,City Of Denver
Bremer,FD,1,CITY OF FREDERIKA- FREDERIKA &amp; LEROY TWP,0.22666666666666666,Bremer,,209 8th Ave SW,Tipoli,Tripoli High School Cafeteria,50676,1.0,9.0,AUTO,Frederika Leroy City Of Frederika
Bremer,JV,5,CITY OF JANESVILLE/JACKSON TWP,1.1333333333333333,Bremer,,505 W Barrick Rd,Janesville,Janesville Elementary Commons,50647,1.0,9.0,AUTO,City Of Janesville
Bremer,LA,4,LAFAYETTE TWP/WARREN TWPS,0.9066666666666666,Bremer,,1405 4th Ave SW,Waverly,W-SR High School,50677,1.0,9.0,AUTO,Lafayette Warren
Bremer,PL,3,CITY OF PLAINFIELD/POLK TWP/DOUGLAS TWP,0.6799999999999999,Bremer,,,,,,,,,
Bremer,RD,4,CITY OF READLYN- MAXFIELD &amp; FRANKLIN TWP,0.9066666666666666,Bremer,,,,,,,,,
Bremer,SU,6,CITY OF SUMNER/SUMNER TWP/DAYTON TWP,1.36,Bremer,,206 NRailroad St,Sumner,Sumner Library,50674,1.0,9.0,MANUAL,Sumner 2 City Of Sumner
Bremer,TR,5,CITY OF TRIPOLI/FREMONT,1.1333333333333333,Bremer,,,,,,,,,
Bremer,WL1,9,WAVERLY WARD I/E WASHINGTON TWP,2.04,Bremer,,1405 4th Ave SW,Waverly,W-SR High School,50677,1.0,9.0,AUTO,Waverly Ward 1
Bremer,WL2,7,WAVERLY WARD II/NE 1/4 SEC 36 WASHINGTON TWP,1.586666666666667,Bremer,,1405 4th Ave SW,Waverly,W-SR High School,50677,1.0,9.0,AUTO,Waverly Ward 2
Bremer,WL3,5,WAVERLY WARD III,1.1333333333333333,Bremer,,1405 4th Ave SW,Waverly,W-SR High School,50677,1.0,9.0,AUTO,Waverly Ward 3
Bremer,WL4,8,WAVERLY WARD IV,1.8133333333333328,Bremer,,1405 4th Ave SW,Waverly,W-SR High School,50677,1.0,9.0,AUTO,Waverly Ward 4 Washington Jackson
Bremer,WL5,9,WAVERLY WARD V/W WASHINGTON TWP,2.04,Bremer,,1405 4th Ave SW,Waverly,W-SR High School,50677,1.0,9.0,AUTO,Waverly Ward 5
Buchanan,AR,5,Aurora,0.6842105263157895,Buchanan,,302 Warren St,Aurora,Legion Hall,50607,1.0,10.0,AUTO,Aurora
Buchanan,BD,4,Brandon,0.5473684210526316,Buchanan,,400 North St,Brandon,Brandon City Hall,52210,1.0,10.0,AUTO,Brandon
Buchanan,FB,5,Fairbank,0.6842105263157895,Buchanan,,505 Forest St,Fairbank,Fairbank Elementary School,50629,1.0,10.0,AUTO,Fairbank
Buchanan,HT,4,Hazleton,0.5473684210526316,Buchanan,,111 - 3rd St. N.,Hazleton,City Hall (Clerks Office),50641,1.0,10.0,AUTO,Hazleton
Buchanan,I1,12,Independence 1st Ward,1.642105263157895,Buchanan,,414 5th St. North,Winthrop,East Elementary School,50682,1.0,10.0,AUTO,Indep 1st Ward/Washington
Buchanan,I2,6,Independence 2nd Ward,0.8210526315789475,Buchanan,,414 5th St. North,Winthrop,East Elementary School,50682,1.0,10.0,AUTO,Indep 2nd Ward
Buchanan,I3,9,Independence 3rd Ward,1.2315789473684209,Buchanan,,414 5thSt. North,Winthrop,East Elementary School,50682,1.0,10.0,MANUAL,Indep 3rd Ward
Buchanan,I4,6,Independence 4th Ward,0.8210526315789475,Buchanan,,414 5th St. North,Winthrop,East Elementary School,50682,1.0,10.0,AUTO,Indep 4th Ward
Buchanan,I5,6,Independence 5th Ward,0.8210526315789475,Buchanan,,414 5th St. North,Winthrop,East Elementary School,50682,1.0,10.0,AUTO,Indep 5th Ward
Buchanan,JS,11,Jesup,1.5052631578947369,Buchanan,,414 5th St. North,Winthrop,High School Rm. 253,50682,1.0,10.0,AUTO,Jesup
Buchanan,MN,3,Middlefield-Newton,0.41052631578947374,Buchanan,,,,,,,,,
Buchanan,PW,6,Perry-Westburg,0.8210526315789475,Buchanan,,641 Stevens Street,Jesup,Baptist School,50648,1.0,10.0,AUTO,Perry/Westburg
Buchanan,QT,6,Quasqueton,0.8210526315789475,Buchanan,,212 E. Cedar St.,Qasqueton,Quasqueton Union Church,52326,1.0,10.0,AUTO,Quasqueton
Buchanan,RW,5,Rowley,0.6842105263157895,Buchanan,,212 Park Ave.,Rowley,Presbyterian Church,52329,1.0,10.0,AUTO,Rowley
Buchanan,WN,7,Winthrop,0.9578947368421054,Buchanan,,414 -5th Street North,Winthrop,East Buchanan School (Lunch Room),50682,1.0,10.0,MANUAL,Winthrop
Buena Vista,1,7,STORM LAKE 01,1.4,Buena Vista,,,,,,,,,
Buena Vista,2,4,STORM LAKE 02,0.8,Buena Vista,,,,,,,,,
Buena Vista,3,7,STORM LAKE 03,1.4,Buena Vista,,,,,,,,,
Buena Vista,4,8,STORM LAKE 04,1.6,Buena Vista,,,,,,,,,
Buena Vista,ACFC,2,ALBERT CITY FAIRFIELD COON,0.4,Buena Vista,,621 Tornado Drive,Storm Lake,High School,50588,5.0,11.0,AUTO,Albert City Fairfield Coon
Buena Vista,ALNE,5,ALTA NOKOMIS ELK,1.0,Buena Vista,,409 W 7th Street,Alta,Community Center,51002,5.0,11.0,AUTO,Alta Nokomis Elk
Buena Vista,LKHM,3,LAKESIDE HAYES MAPLE VALLEY,0.6000000000000001,Buena Vista,,409 W 7th Street,Alta,CommunityCenter,51002,5.0,11.0,MANUAL,Lakeside Hayes Maple Valley
Buena Vista,NENP,2,NEWELL NEWELL PROVIDENCE,0.4,Buena Vista,,621 Tornado Drive,Storm Lake,High School,50588,5.0,11.0,AUTO,Newell Newell Providence
Buena Vista,S-M-L-R,5,SRL;LGB;RELS;MAP,1.0,Buena Vista,,,,,,,,,
Buena Vista,TRWG,2,TRUESDALE WASHINGTON GRANT,0.4,Buena Vista,,409 W 7th Street,Alta,Community Center,51002,5.0,11.0,AUTO,Truesdale Washington Grant
Butler,1-GR,10,1-GR,1.1666666666666667,Butler,,,,,,,,,
Butler,2-CL,11,2-CL,1.2833333333333334,Butler,,,,,,,,,
Butler,3-DU,4,3-DU,0.4666666666666667,Butler,,,,,,,,,
Butler,4-AL,4,4-AL,0.4666666666666667,Butler,,,,,,,,,
Butler,5-AP,5,5-AP,0.5833333333333334,Butler,,,,,,,,,
Butler,6-SR,11,6-SR,1.2833333333333334,Butler,,,,,,,,,
Butler,7-PB,10,7-PB,1.1666666666666667,Butler,,,,,,,,,
Butler,8-NH,5,8-NH,0.5833333333333334,Butler,,,,,,,,,
Calhoun,BUWM,6,Butler- Williams,0.5,Calhoun,,330 Brower St.,Rockwell City,Elementary School in Rockwell City,50579,4.0,13.0,AUTO,Butler Williams
Calhoun,CEDAR,1,Cedar,0.08333333333333333,Calhoun,,330Brower St.,Rockwell City,Elementary School in Rockwell City,50579,4.0,13.0,MANUAL,Cedar
Calhoun,CHJEGLK,15,Calhoun- Jackson- EG- LK,1.25,Calhoun,,330 Brower St.,Rockwell City,Elementary School in Rockwell City,50579,4.0,13.0,AUTO,Calhoun Jackson Elm Grove Lake Creek
Calhoun,CNLGTGA,5,Center- Logan- TL- GA- L,0.4166666666666666,Calhoun,,330 Brower St.,Rockwell City,Elementary School in Rockwell City,50579,4.0,13.0,AUTO,Center Logan Twin Lakes Garfield
Calhoun,GREENFI,2,Greenfield &amp; Lincoln 2,0.16666666666666666,Calhoun,,330 Brower St.,Rockwell City,Elementary School in Rockwell City,50579,4.0,13.0,AUTO,Greenfield
Calhoun,LINCOLN,10,Lincoln 1,0.8333333333333333,Calhoun,,330 Brower St.,Rockwell City,Elementary School in Rockwell City,50579,4.0,13.0,AUTO,Lincoln
