State/ Country,City,Name of Location,Address,Site Type,Start Time in CST,Local Start Time
IA,Osage,Faith Luthern Home,"914 Davidson Dr, Osage, IA 50461",Closed,4:00:00 PM,4:00 PM CST
IA,Ottumwa,UFCW Local 230,"1305 E Mary St, Ottumwa, IA 52501",Open,12:00:00 PM,12:00 PM CST
IA,Ottumwa,UAW Local 74,"205 N James St, Ottumwa, IA 52501",Closed,6:00:00 PM,6:00 PM CST
IA,Shenandoah,"Garden View Care Center ","1200 W Nishna Rd, Shenandoah, IA 51601",Closed,7:00:00 PM,7:00 PM CST
IA,Storm Lake,Methodist Manor,"1206 W 4th St, Storm Lake, IA 50588",Closed,7:00:00 PM,7:00 PM CST
IA,Storm Lake,Better Day Cafe,"518 Lake Ave N, Storm Lake, IA 50588",Open,7:00:00 PM,7:00 PM CST
IA,Waterloo,UAW Local 838,"2615 Washington St. Waterloo, IA 50702",Open,1:00:00 PM,1:00 PM CST
IA,West Burlington,Southeastern Community College,"1500 W Agency Rd, West Burlington, IA 52655",Open,5:00:00 PM,5:00 PM CST
IL,Chicago,University Church of Chicago,"5665 S University Ave, Chicago, IL 60637",Open,7:00:00 PM,7:00 PM CST
IL,Chicago,Humbolt Park Branch CPL,"1605 N Troy St, Chicago, IL 60647",Open,7:00:00 PM,7:00 PM CST
MA,Cambridge,Democracy Center,"45 Mount Auburn St, Cambridge, MA 02138",Open,7:00:00 PM,8:00 PM EST
MI,Ann Arbor,Ann Arbor District Library,"343 South Fifth Ave, Ann Arbor, MI 48104",Open,6:00:00 PM,7:00 PM EST
MN,Northfield,"St. Olaf College, Buntrock Commons","1520 St Olaf Ave, Northfield, MN 55057",Open,7:00:00 PM,7:00 PM CST
MN,St. Paul,MLK Recreation Center,"271 Mackubin St, St. Paul, MN 55102",Open,7:00:00 PM,7:00 PM CST
NY,Brooklyn,Brooklyn Public Library,"725 St Marks Ave, Brooklyn, NY 11216",Open,3:00:00 PM,4:00 PM EST
NY,New York,"The Lesbian, Gay, Bisexual & Transgender Community Center","208 W 13th St, New York, NY 10011 Room 301",Open,7:00:00 PM,8:00 PM EST
PA,Philadelphia,Houston Hall at Penn University,"3417 Spruce St, Philadelphia, PA, 19104",Open,7:00:00 PM,8:00 PM EST
RI,Providence,MacMillian Hall at Brown University,"167 Thayer St, Providence, RI 02906",Open,7:00:00 PM,8:00 PM EST
Republic of Georgia,Tbilisi,Home of Joshua Kucera,CONTACT IDP,Open,10:00 AM,8:00 PM GET
Scotland,Glasgow,Home of Colyn Burbank,CONTACT IDP,Open,1:00:00 PM,7:00 PM GMT
TN,Nashville,McCabe Community Center,"101 46th Ave N, Nashville, TN 37209",Open,7:00:00 PM,7:00 PM CST
VA,Fairfax,George Mason University,"4441 George Mason Blvd, Fairfax, VA 22030",Open,6:00:00 PM,7:00 PM EST
WI,Milwaukee,Marquette University Alumni Memorial Union,"1442 W Wisconsin Ave, Milwaukee, WI 53233",Open,7:00:00 PM,7:00 PM CST
